TERM,REQUIREMENT,TYPE,ONTOLOGY ACCESSION,USAGE (TEMPLATES),VALUES SOURCE,SPECIAL VALUES,DESCRIPTION
sample collection method,OPTIONAL,characteristics,OBI:0000659,metaproteomics,free text,"N/A
N/Av",Method used to collect the environmental sample
sample storage,OPTIONAL,comment,to be filled,metaproteomics,free text,"N/A
N/Av",Storage conditions for the sample before analysis
sampling site,OPTIONAL,characteristics,to be filled,cell-lines,UBERON BTO,"N/A
N/Av",Tissue or organ from which the cell line was derived
scan window lower limit,RECOMMENDED,comment,to be filled,dia-acquisition,numeric m/z,"N/A
N/Av",Lower m/z limit of the DIA scan window
scan window upper limit,RECOMMENDED,comment,to be filled,dia-acquisition,numeric m/z,"N/A
N/Av",Upper m/z limit of the DIA scan window
sex,RECOMMENDED,characteristics,PATO:0000047,human cell-lines,"fixed: male, female, intersex, not available, not applicable 📖","N/A
N/Av",Biological sex of the donor
single cell isolation method,REQUIRED,characteristics,EFO:0010214,single-cell,"fixed: FACS, microfluidics, laser capture microdissection, manual picking, CellenONE, nanoPOTS",N/A,Method used to isolate single cells
single cell quality,OPTIONAL,comment,to be filled,single-cell,"fixed: OK, pass, fail, not OK","N/A
N/Av",Quality assessment of the single cell preparation
source name,REQUIRED,other,PRIDE:0000623,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,free text,—,Unique identifier for the biological sample
strain or breed,OPTIONAL,characteristics,GENO:0000112,vertebrates invertebrates plants single-cell,free text,"N/A
N/Av","Strain, breed, cultivar, or ecotype of the organism"
technical replicate,REQUIRED,comment,MS:1001808,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,integer,—,Identifier for the technical replicate
technology type,REQUIRED,other,EFO:0002772,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,fixed: proteomic profiling by mass spectrometry,—,Type of technology used
temperature,OPTIONAL,characteristics,PATO:0000146,metaproteomics,pattern: number + C,"N/A
N/Av",Temperature at sampling location
time,OPTIONAL,factor value,EFO:0000721,ms-proteomics human cell-lines,time pattern,—,Factor value indicating time point is the experimental variable
tissue mass,OPTIONAL,comment,to be filled,immunopeptidomics,pattern: number + mg/g,"N/A
N/Av",Mass of tissue used for immunopeptidome extraction
