Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cultured cell]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	characteristics[disease]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD014528-Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	tissue	831957a99601b41581eb0e40e876394143ba1898c6192d52d7aea17f7f30d6af	SAMEA7717422
PXD014528-Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	tissue	4f88af080e90ce40039e91a7409970f5a19a22a6fa33df051e17ef5d80efb757	SAMEA7717423
PXD014528-Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	tissue	4f88af080e90ce40039e91a7409970f5a19a22a6fa33df051e17ef5d80efb757	SAMEA7717423
PXD014528-Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	tissue	4f88af080e90ce40039e91a7409970f5a19a22a6fa33df051e17ef5d80efb757	SAMEA7717423
PXD014528-Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	tissue	376a493c2dd511ec80992e5ba782bbf60e5f317b79f2945956297635b75eff19	SAMEA7717424
PXD014528-Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	tissue	376a493c2dd511ec80992e5ba782bbf60e5f317b79f2945956297635b75eff19	SAMEA7717424
PXD014528-Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	tissue	376a493c2dd511ec80992e5ba782bbf60e5f317b79f2945956297635b75eff19	SAMEA7717424
PXD014528-Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 28	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	tissue	cd838ec9d326bdc96e8b5d365da9b5d424bfd170afe737073c11c9261fa46be8	SAMEA7717425
PXD014528-Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 29	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	tissue	cd838ec9d326bdc96e8b5d365da9b5d424bfd170afe737073c11c9261fa46be8	SAMEA7717425
PXD014528-Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 30	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	tissue	cd838ec9d326bdc96e8b5d365da9b5d424bfd170afe737073c11c9261fa46be8	SAMEA7717425
