domain,category,value,fraction
isolation_window_full_width,78,2132.0,1.1033355167853299e-05
isolation_window_full_width,311,2132.0,1.1033355167853299e-05
isolation_window_full_width,20.01,33484.0,0.0001732837075236397
isolation_window_full_width,61,18222.0,9.430103089522646e-05
fragmentation_channel_spectra,cid,11301941.0,0.05847878662145118
fragmentation_channel_spectra,hcd,181917159.0,0.9412803273297575
fragmentation_channel_spectra,etd,46555.0,0.00024088604879123505
fragmentation_channel_spectra,qtof,0.0,0.0
roi_quant_signature_pxds,itraq8,563.0,0.4223555888972243
roi_quant_signature_pxds,tmt,586.0,0.43960990247561893
roi_quant_signature_pxds,itraq4,222.0,0.16654163540885222
roi_quant_signature_pxds,tmtpro,203.0,0.1522880720180045
roi_quant_signature_pxds,itraq,183.0,0.13728432108027006
recommended_precursor_tolerance_ppm,count,557.0,
recommended_precursor_tolerance_ppm,mean,12.509874326750449,
recommended_precursor_tolerance_ppm,median,6.0,
recommended_precursor_tolerance_ppm,p95,8.0,
recommended_fragment_tolerance_ppm,count,559.0,
recommended_fragment_tolerance_ppm,mean,9.329679427549195,
recommended_fragment_tolerance_ppm,median,9.0,
recommended_fragment_tolerance_ppm,p95,15.0,
phosphoric_to_water_intensity_ratio,count,562.0,
phosphoric_to_water_intensity_ratio,mean,2872894224593.073,
phosphoric_to_water_intensity_ratio,median,0.01720500604571323,
phosphoric_to_water_intensity_ratio,p95,1.3832529966905387,
dynamic_exclusion_decay_constant,count,557.0,
dynamic_exclusion_decay_constant,mean,2.5924697651083517,
dynamic_exclusion_decay_constant,median,1.0,
dynamic_exclusion_decay_constant,p95,3.8741650242618246,
dynamic_exclusion_pulse_start,count,557.0,
dynamic_exclusion_pulse_start,mean,28.563705845285167,
dynamic_exclusion_pulse_start,median,30.521652087754138,
dynamic_exclusion_pulse_start,p95,60.51623893865034,
