source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[phenotype]	sampleChecksum	sampleAccession
PXD018117-Sample 21	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-007	nsp1	1	run 21	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017080.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017080.raw	cell	SARS-Co-V2 proteins	3eaae16ec7c6fdbc97ceba695477ded459e4c8c67eb0def84db08490af0e064d	SAMEA7711966
PXD018117-Sample 22	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-008	nsp1	2	run 22	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017081.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017081.raw	cell	SARS-Co-V2 proteins	64b50eadd9f964bf62777a9fdbb1df97de7b00a4fa516c366fb4048daa243693	SAMEA7711967
PXD018117-Sample 23	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-009	nsp1	3	run 23	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017082.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017082.raw	cell	SARS-Co-V2 proteins	80560af3c0c1a851922988541aef5e6e19afb0d64b9e5639e7eaaad5f28d541e	SAMEA7711968
PXD018117-Sample 24	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-028	nsp10	1	run 24	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017160.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017160.raw	cell	SARS-Co-V2 proteins	47fb53adf9327a3fa75b8f085f64f0378efe8747bbeae1692060ac6f50cf24c3	SAMEA7711969
PXD018117-Sample 25	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-029	nsp10	2	run 25	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017161.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017161.raw	cell	SARS-Co-V2 proteins	080b8884833d4e9cd935bbd25739e48a7830509e1d6de0713d77663d5a68bd35	SAMEA7711970
PXD018117-Sample 26	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-030	nsp10	3	run 26	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017162.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017162.raw	cell	SARS-Co-V2 proteins	5bd7aa7efc9397c077956cab7f96468e075d6509266be2b36a51360a861645e5	SAMEA7711971
PXD018117-Sample 27	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-031	nsp11	1	run 27	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017164.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017164.raw	cell	SARS-Co-V2 proteins	3a03a140b0485e55b1f6b4cad3396f9c0ed4fb4fead9ed2188bb78b8ceb5eed7	SAMEA7711972
PXD018117-Sample 28	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-032	nsp11	2	run 28	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017165.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017165.raw	cell	SARS-Co-V2 proteins	d154a8644288752ee980b45008aef65a74ed9fb08bc87471063f6e877c833c0f	SAMEA7711973
PXD018117-Sample 29	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-033	nsp11	3	run 29	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017166.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017166.raw	cell	SARS-Co-V2 proteins	777360c97515f6383106b9ca09f1cadbc1e7e5aa5d41fd1fbe76fcce5aac83d9	SAMEA7711974
PXD018117-Sample 30	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-013	nsp12	1	run 30	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017186.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017186.raw	cell	SARS-Co-V2 proteins	f7763efb3c3f34727f6b41b941c629e2b50dc48f41fa25e47e724d383ae07449	SAMEA7711975
