paper_id,source,mode,judge_accuracy_run1,judge_accuracy_run2,judge_accuracy_run3,mean_accuracy,std_accuracy,range_accuracy
PXD022741,human_annotation,strict,0.2619,0.2619,0.2143,0.24603333333333333,0.027481872813426202,0.04760000000000003
PXD026287,hamlet_harmonized,inference,0.5263,0.5789,0.6316,0.5789333333333334,0.052650007913896235,0.10530000000000006
PXD026287,hamlet_harmonized,strict,0.7368,0.7368,0.7368,0.7368,0.0,0.0
PXD026287,hamlet_raw,inference,0.7059,0.7647,0.7647,0.7451,0.033948195828350035,0.058800000000000074
PXD026287,hamlet_raw,strict,0.8824,0.9412,0.9412,0.9216000000000001,0.033948195828350035,0.058800000000000074
PXD026287,human_annotation,inference,0.0548,0.0685,0.0822,0.0685,0.013699999999999997,0.027399999999999994
PXD026287,human_annotation,strict,0.0959,0.1096,0.1096,0.10503333333333335,0.007909698687897876,0.013700000000000004
PXD028781,hamlet_harmonized,inference,0.7826,0.7826,0.6957,0.7536333333333333,0.05017173839257847,0.08689999999999998
PXD028781,hamlet_harmonized,strict,0.8261,0.8261,0.8261,0.8261,0.0,0.0
PXD028781,hamlet_raw,inference,0.9091,0.9091,0.8182,0.8788,0.05248113946933697,0.09089999999999998
PXD028781,hamlet_raw,strict,0.9545,0.9545,0.9545,0.9545,0.0,0.0
PXD028781,human_annotation,inference,0.7619,0.7619,0.7619,0.7619000000000001,1.3597399555105182e-16,0.0
PXD028781,human_annotation,strict,0.7619,0.8095,0.7619,0.7777666666666668,0.027481872813426175,0.047599999999999976
PXD029966,hamlet_harmonized,inference,0.5769,0.5769,0.5769,0.5769,0.0,0.0
PXD029966,hamlet_harmonized,strict,0.7308,0.6923,0.6923,0.7051333333333334,0.02222798536380058,0.03849999999999998
PXD029966,hamlet_raw,inference,0.76,0.76,0.76,0.7600000000000001,1.3597399555105182e-16,0.0
PXD029966,hamlet_raw,strict,0.92,0.88,0.88,0.8933333333333334,0.02309401076758505,0.040000000000000036
PXD029966,human_annotation,inference,0.4667,0.4667,0.5333,0.48889999999999995,0.03845152792802907,0.06659999999999999
PXD029966,human_annotation,strict,0.5333,0.5333,0.5333,0.5333,0.0,0.0
PXD029997,hamlet_harmonized,inference,0.7143,0.6667,0.5714,0.6507999999999999,0.07276475795328397,0.14290000000000003
PXD029997,hamlet_harmonized,strict,0.7143,0.7619,0.7143,0.7301666666666667,0.02748187281342617,0.047599999999999976
PXD029997,hamlet_raw,inference,0.8,0.8,0.7,0.7666666666666666,0.05773502691896263,0.10000000000000009
PXD029997,hamlet_raw,strict,0.85,0.9,0.85,0.8666666666666667,0.028867513459481315,0.050000000000000044
PXD029997,human_annotation,inference,0.7778,0.7778,0.8333,0.7963,0.032042939940024225,0.055499999999999994
PXD029997,human_annotation,strict,0.7778,0.8333,0.7778,0.7963,0.032042939940024225,0.055499999999999994
PXD030403,hamlet_harmonized,inference,0.875,0.9375,0.9375,0.9166666666666666,0.03608439182435161,0.0625
PXD030403,hamlet_harmonized,strict,0.9375,1.0,0.9375,0.9583333333333334,0.03608439182435161,0.0625
PXD030403,hamlet_raw,inference,0.875,0.9375,0.9375,0.9166666666666666,0.03608439182435161,0.0625
PXD030403,hamlet_raw,strict,0.9375,1.0,0.9375,0.9583333333333334,0.03608439182435161,0.0625
PXD030403,human_annotation,inference,0.4667,0.6,0.6,0.5555666666666667,0.0769607908829771,0.13329999999999997
PXD030403,human_annotation,strict,0.5333,0.6667,0.5333,0.5777666666666667,0.07701852590989605,0.13339999999999996
PXD031991,hamlet_harmonized,inference,0.619,0.6667,0.619,0.6348999999999999,0.027539607840345127,0.047699999999999965
PXD031991,hamlet_harmonized,strict,0.6667,0.6667,0.619,0.6507999999999999,0.02753960784034513,0.047699999999999965
PXD031991,hamlet_raw,inference,0.7,0.75,0.7,0.7166666666666667,0.028867513459481315,0.050000000000000044
PXD031991,hamlet_raw,strict,0.8,0.8,0.75,0.7833333333333333,0.028867513459481315,0.050000000000000044
PXD032098,hamlet_harmonized,inference,0.5714,0.619,0.5238,0.5714,0.047599999999999976,0.09519999999999995
PXD032098,hamlet_harmonized,strict,0.6667,0.619,0.619,0.6348999999999999,0.027539607840345127,0.047699999999999965
PXD032098,hamlet_raw,inference,0.6667,0.7222,0.6111,0.6666666666666666,0.05555000750074956,0.11109999999999998
PXD032098,hamlet_raw,strict,0.7778,0.7222,0.7222,0.7407333333333334,0.03210067496694324,0.055600000000000094
PXD032098,human_annotation,inference,0.1667,0.1667,0.3333,0.2222333333333333,0.09618655484699165,0.1666
PXD032098,human_annotation,strict,0.1667,0.3333,0.1667,0.2222333333333333,0.09618655484699165,0.1666
PXD034195,hamlet_harmonized,inference,0.5333,0.6,0.6,0.5777666666666667,0.038509262954948026,0.06669999999999998
PXD034195,hamlet_harmonized,strict,0.8667,0.8667,0.8,0.8444666666666668,0.038509262954948026,0.06669999999999998
PXD034195,hamlet_raw,inference,0.5333,0.6,0.6,0.5777666666666667,0.038509262954948026,0.06669999999999998
PXD034195,hamlet_raw,strict,0.8667,0.8667,0.8,0.8444666666666668,0.038509262954948026,0.06669999999999998
PXD034195,human_annotation,inference,0.3333,0.3333,0.3333,0.3333,0.0,0.0
PXD034195,human_annotation,strict,0.3889,0.3889,0.3889,0.3889,0.0,0.0
PXD036655,hamlet_harmonized,inference,0.5714,0.6071,0.5714,0.5833,0.020611404610069613,0.035699999999999954
PXD036655,hamlet_harmonized,strict,0.7143,0.7143,0.7143,0.7143,0.0,0.0
PXD036655,hamlet_raw,inference,0.7407,0.7407,0.7407,0.7407,0.0,0.0
PXD036655,hamlet_raw,strict,0.8889,0.8889,0.8889,0.8889,0.0,0.0
PXD036655,human_annotation,inference,0.7,0.7,0.7,0.6999999999999998,1.3597399555105182e-16,0.0
PXD036655,human_annotation,strict,0.9,0.9,0.9,0.9,0.0,0.0
PXD036832,hamlet_harmonized,inference,0.5185,0.5185,0.5185,0.5185,0.0,0.0
PXD036832,hamlet_harmonized,strict,0.6296,0.6667,0.6667,0.6543333333333333,0.021419694986935064,0.03709999999999991
PXD036832,hamlet_raw,inference,0.6,0.6,0.56,0.5866666666666667,0.023094010767584987,0.039999999999999925
PXD036832,hamlet_raw,strict,0.76,0.72,0.76,0.7466666666666667,0.023094010767585053,0.040000000000000036
PXD036832,human_annotation,inference,0.0562,0.0674,0.0674,0.06366666666666666,0.00646632301492381,0.011200000000000002
PXD036832,human_annotation,strict,0.0787,0.0787,0.1011,0.08616666666666667,0.012932646029847611,0.02239999999999999
PXD040176,hamlet_harmonized,inference,0.6,0.6,0.65,0.6166666666666667,0.028867513459481315,0.050000000000000044
PXD040176,hamlet_harmonized,strict,0.6,0.65,0.6,0.6166666666666667,0.028867513459481315,0.050000000000000044
PXD040176,hamlet_raw,inference,0.7222,0.7778,0.7778,0.7592666666666666,0.03210067496694324,0.055600000000000094
PXD040176,hamlet_raw,strict,0.7778,0.8333,0.7778,0.7963,0.032042939940024225,0.055499999999999994
PXD040176,human_annotation,inference,0.3077,0.3077,0.3077,0.3077,0.0,0.0
PXD040176,human_annotation,strict,0.3077,0.3846,0.4615,0.3846,0.07690000000000002,0.15380000000000005
PXD040722,hamlet_harmonized,inference,0.68,0.68,0.68,0.68,0.0,0.0
PXD040722,hamlet_harmonized,strict,0.68,0.68,0.68,0.68,0.0,0.0
PXD040722,hamlet_raw,inference,0.8333,0.8333,0.7917,0.8194333333333333,0.024017771198288476,0.04160000000000008
PXD040722,hamlet_raw,strict,0.8333,0.8333,0.7917,0.8194333333333333,0.024017771198288476,0.04160000000000008
PXD040722,human_annotation,inference,0.7273,0.7576,0.7576,0.7475,0.017493713156445722,0.030300000000000105
PXD040722,human_annotation,strict,0.697,0.7576,0.697,0.7172000000000001,0.03498742631289138,0.0606000000000001
PXD041681,hamlet_harmonized,inference,0.6538,0.6154,0.6154,0.6282,0.022170250336881688,0.0384000000000001
PXD041681,hamlet_harmonized,strict,0.6538,0.6923,0.6538,0.6666333333333334,0.02222798536380058,0.03849999999999998
PXD041681,hamlet_raw,inference,0.76,0.76,0.72,0.7466666666666667,0.023094010767585053,0.040000000000000036
