paper_id,source,mode,total_extracted,judge_n_correct,judge_n_hallucinated,judge_accuracy,judge_accuracy_adjusted,mean_unanimous_rate,mean_unanimous_category_rate
PXD030403,hamlet_raw,strict,16,16,0,1.0,1.0,1.0,0.9375
PXD030403,human_annotation,inference,15,10,5,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.7333333333333333
PXD030403,human_annotation,strict,15,10,4,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.8666666666666667
PXD031991,hamlet_harmonized,inference,21,19,0,0.9047619047619048,0.9047619047619048,0.7619047619047619,0.7619047619047619
PXD031991,hamlet_harmonized,strict,21,18,0,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.8571428571428571
PXD031991,hamlet_raw,inference,20,19,0,0.95,0.95,0.85,0.85
PXD031991,hamlet_raw,strict,20,19,0,0.95,0.95,1.0,0.95
PXD032098,hamlet_harmonized,inference,21,15,0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8095238095238095
PXD032098,hamlet_harmonized,strict,21,15,1,0.7142857142857143,0.7142857142857143,0.9523809523809523,0.9047619047619048
PXD032098,hamlet_raw,inference,18,15,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7777777777777778
PXD032098,hamlet_raw,strict,18,15,1,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8888888888888888
PXD032098,human_annotation,inference,6,2,0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6666666666666666
PXD032098,human_annotation,strict,6,2,1,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334
PXD034195,hamlet_harmonized,inference,15,13,0,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667
PXD034195,hamlet_harmonized,strict,15,13,1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333
PXD034195,hamlet_raw,inference,15,13,0,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667
PXD034195,hamlet_raw,strict,15,13,1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333
PXD034195,human_annotation,inference,18,7,6,0.3888888888888889,0.3888888888888889,1.0,0.7222222222222222
PXD034195,human_annotation,strict,18,7,6,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.8888888888888888
PXD036655,hamlet_harmonized,inference,28,21,0,0.75,0.75,0.9642857142857143,0.9642857142857143
PXD036655,hamlet_harmonized,strict,28,21,0,0.75,0.75,1.0,0.9285714285714286
PXD036655,hamlet_raw,inference,27,25,0,0.9259259259259259,0.9259259259259259,1.0,1.0
PXD036655,hamlet_raw,strict,27,25,0,0.9259259259259259,0.9259259259259259,1.0,1.0
PXD036655,human_annotation,inference,20,19,0,0.95,0.95,1.0,1.0
PXD036655,human_annotation,strict,20,19,0,0.95,0.95,1.0,1.0
PXD036832,hamlet_harmonized,inference,27,22,0,0.8148148148148148,0.8148148148148148,0.9629629629629629,0.9259259259259259
PXD036832,hamlet_harmonized,strict,27,21,0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888
PXD036832,hamlet_raw,inference,25,24,0,0.96,0.96,0.92,0.88
PXD036832,hamlet_raw,strict,25,23,0,0.92,0.92,0.8,0.8
PXD036832,human_annotation,inference,89,13,75,0.14606741573033707,0.14606741573033707,1.0,0.9550561797752809
PXD036832,human_annotation,strict,89,13,76,0.14606741573033707,0.14606741573033707,0.9887640449438202,0.9662921348314607
PXD040176,hamlet_harmonized,inference,20,13,1,0.65,0.65,1.0,0.85
PXD040176,hamlet_harmonized,strict,20,13,2,0.65,0.65,0.95,0.8
PXD040176,hamlet_raw,inference,18,15,1,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
PXD040176,hamlet_raw,strict,18,15,2,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8888888888888888
PXD040176,human_annotation,inference,13,6,5,0.46153846153846156,0.46153846153846156,0.9230769230769231,0.6923076923076923
PXD040176,human_annotation,strict,13,5,4,0.38461538461538464,0.38461538461538464,0.8461538461538461,0.7692307692307693
PXD040722,hamlet_harmonized,inference,25,21,0,0.84,0.84,0.92,0.92
PXD040722,hamlet_harmonized,strict,25,20,1,0.8,0.8,0.92,0.92
PXD040722,hamlet_raw,inference,24,23,0,0.9583333333333334,0.9583333333333334,0.875,0.875
PXD040722,hamlet_raw,strict,24,22,1,0.9166666666666666,0.9166666666666666,0.875,0.875
PXD040722,human_annotation,inference,33,29,2,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9090909090909091
PXD040722,human_annotation,strict,33,28,2,0.8484848484848485,0.8484848484848485,0.9393939393939394,0.9090909090909091
PXD041681,hamlet_harmonized,inference,26,19,2,0.7307692307692307,0.7307692307692307,0.9230769230769231,0.7692307692307693
PXD041681,hamlet_harmonized,strict,26,19,2,0.7307692307692307,0.7307692307692307,0.9615384615384616,0.9230769230769231
PXD041681,hamlet_raw,inference,25,21,2,0.84,0.84,0.96,0.88
PXD041681,hamlet_raw,strict,25,21,2,0.84,0.84,1.0,1.0
PXD041681,human_annotation,inference,30,7,22,0.23333333333333334,0.23333333333333334,0.9666666666666667,0.9
PXD041681,human_annotation,strict,30,8,22,0.26666666666666666,0.26666666666666666,1.0,0.9666666666666667
PXD042574,hamlet_harmonized,inference,21,21,0,1.0,1.0,0.8095238095238095,0.8095238095238095
PXD042574,hamlet_harmonized,strict,21,20,0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048
PXD042574,hamlet_raw,inference,21,21,0,1.0,1.0,0.8095238095238095,0.8095238095238095
PXD042574,hamlet_raw,strict,21,20,0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048
