accession,has_pmc,has_by,has_sdrf
PXD014713,False,False,False
PXD002727,True,True,False
PXD006240,True,True,False
PXD007571,False,False,False
PXD007572,False,False,False
PXD001400,True,True,False
PXD006239,True,True,False
PXD006246,True,True,False
PXD006241,True,True,False
PXD014718,True,True,False
PXD007574,True,False,False
PXD014700,False,False,False
PXD002742,False,False,False
PXD002726,True,False,False
PXD007577,True,True,False
PXD001411,False,False,False
PXD002724,False,False,False
PXD014709,True,True,False
PXD002731,True,True,False
PXD002725,True,True,False
PXD002740,False,False,False
PXD002739,False,False,False
PXD014708,True,False,False
PXD002741,False,False,False
PXD014707,True,False,False
PXD007573,False,False,False
PXD001406,True,False,False
PXD014701,True,True,False
PXD001410,True,True,False
PXD001404,False,False,True
PXD002734,True,False,False
PXD001401,False,False,False
PXD002735,True,True,False
PXD001402,False,False,False
PXD001403,False,False,False
PXD002732,True,True,False
PXD014739,True,True,False
PXD002736,True,True,False
PXD013403,True,True,False
PXD002733,False,False,False
PXD001409,False,False,False
PXD013404,True,True,False
PXD001407,True,True,False
PXD013405,True,True,False
PXD013406,False,False,False
PXD014733,True,False,False
PXD014736,False,False,False
PXD014738,True,False,False
PXD001421,False,False,False
PXD001422,False,False,False
PXD014735,True,True,False
PXD001420,False,False,False
PXD001415,False,False,False
PXD001419,False,False,False
PXD001414,True,True,False
PXD002763,True,False,False
PXD002743,False,False,False
PXD001418,False,False,False
PXD013411,True,True,False
PXD002762,False,False,False
PXD001416,False,False,False
PXD001417,False,False,False
PXD002758,True,True,False
PXD001428,False,False,False
PXD001432,False,False,False
PXD001427,True,True,False
PXD001429,False,False,False
PXD001423,False,False,False
PXD002760,False,False,False
PXD001430,False,False,False
PXD001424,True,False,False
PXD001426,False,False,False
PXD002759,True,False,False
PXD001425,True,False,False
PXD002757,True,True,False
PXD014730,True,False,False
PXD006291,True,True,False
PXD006293,True,True,False
PXD006299,False,False,False
PXD006294,True,True,False
PXD006296,False,False,False
PXD013400,True,True,False
PXD002707,False,False,False
PXD002703,True,False,False
PXD002704,True,True,False
PXD006297,False,False,False
PXD002705,True,True,False
PXD014557,True,True,False
PXD014731,True,False,False
PXD014559,False,False,False
PXD015888,False,False,False
PXD001244,False,False,False
PXD006298,False,False,False
PXD001243,False,False,False
PXD001246,False,False,False
PXD015890,True,True,False
PXD003898,True,True,False
PXD013227,True,True,False
PXD006290,False,False,False
PXD003899,False,False,False
PXD001245,False,False,False
PXD001241,False,False,False
PXD002570,True,True,False
PXD002720,True,True,False
PXD014565,False,False,False
PRD000704,False,False,False
PXD001240,False,False,False
PXD002572,False,False,False
PXD002573,True,True,False
PXD001242,True,False,False
PXD013231,True,True,False
PXD014549,False,False,False
PXD001237,True,False,False
PXD001255,False,False,False
PXD002571,True,False,False
PXD013234,True,True,True
PXD001239,True,True,False
PXD013232,True,True,False
PXD015894,True,True,False
PXD013215,False,False,False
PXD002575,True,True,False
PXD001257,False,False,False
PXD002580,True,True,False
PRD000717,False,False,False
PXD002585,False,False,False
PXD013216,True,True,False
PXD013217,False,False,False
PXD002586,True,True,False
PXD001250,True,False,False
PXD002583,False,False,False
PXD014566,True,True,False
PXD002588,False,False,False
PRD000709,True,True,False
PXD001252,True,True,False
PXD002584,False,False,False
PXD002582,False,False,False
PXD001251,False,False,False
PXD002581,True,True,False
PXD001248,True,True,False
PRD000711,False,False,False
PXD001254,False,False,False
PXD001249,False,False,False
PXD014556,False,False,False
PXD002578,True,True,False
PXD014553,False,False,False
PXD002579,True,True,False
PXD001253,False,False,False
PXD015887,True,True,False
PXD001247,False,False,False
PXD015883,True,True,False
PXD013221,True,True,False
PXD002590,False,False,False
PXD013225,True,True,False
PXD002591,False,False,False
PXD014555,False,False,False
PXD014552,True,False,False
PXD001260,True,False,False
PXD014579,False,False,False
PXD001266,False,False,False
PXD002598,True,False,False
PXD013224,False,False,False
PXD002596,False,False,False
PXD002595,True,False,False
PXD001262,False,False,False
PXD002592,True,False,False
PXD002594,True,True,False
PXD001265,True,False,False
PXD001264,False,False,False
PXD001268,True,False,False
PXD002597,False,False,False
PXD002593,False,False,False
PXD014581,False,False,False
PXD013250,True,True,False
PXD014580,True,True,False
PXD001267,False,False,False
PXD001258,False,False,False
PXD013256,True,True,False
PXD013255,True,True,False
PXD001259,True,True,False
PXD014586,True,False,False
PXD014588,False,False,False
PXD001263,False,False,False
PXD013257,False,False,False
PXD013252,False,False,False
PXD013253,True,True,False
PXD001270,False,False,False
PXD001271,False,False,False
PXD001277,True,True,False
PXD001276,True,True,False
PXD001279,True,True,False
PXD001273,True,True,False
PRD000748,False,False,False
PXD015848,False,False,False
PRD000749,False,False,False
PXD014517,False,False,False
PXD014519,True,True,False
PXD014514,False,False,False
PXD001269,True,False,False
PXD001278,False,False,False
PXD013243,True,True,False
PXD014573,False,False,False
