pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD044188,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD044253,yes,Shotgun proteomics (PRIDE:0000429),Antibodies (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,Shotgun proteomics (PRIDE:0000429) || Antibodies (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,yes,yes,yes
PXD044254,yes,Shotgun proteomics (PRIDE:0000429),Antibodies (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,Shotgun proteomics (PRIDE:0000429) || Antibodies (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Human proteome project,yes,yes,yes
PXD044305,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD044743,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD044750,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD044760,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD044767,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),yes,no,yes
PXD044788,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD044860,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD045770,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD047066,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD047758,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD047910,yes,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),Antibodies (b/d-hpp) | Glycoproteomics (b/d-hpp),Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627) || Antibodies (b/d-hpp) | Glycoproteomics (b/d-hpp),yes,yes,yes
PXD048381,yes,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD048451,yes,Proteogenomics (PRIDE:0000647),,Proteogenomics (PRIDE:0000647),yes,no,yes
PXD048763,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD050085,yes,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD050244,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD050400,yes,Immunopeptidomics (PRIDE:0000649),,Immunopeptidomics (PRIDE:0000649),yes,no,yes
