pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD045770,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD047066,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD047758,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD047910,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD048381,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002877', 'name': 'Q Exactive HF-X'}]",Q Exactive HF-X (MS:1002877),yes
PXD048451,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD048763,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD050085,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD050244,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD050400,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD050745,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001555', 'name': 'autoflex'}]",autoflex (MS:1001555),yes
PXD051371,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD051954,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003094', 'name': 'Orbitrap Exploris 240', 'value': ''}]",Orbitrap Exploris 240 (MS:1003094),yes
PXD052214,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD052900,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD053088,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD053091,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003094', 'name': 'Orbitrap Exploris 240', 'value': ''}]",Orbitrap Exploris 240 (MS:1003094),yes
PXD053260,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD053289,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003029', 'name': 'Orbitrap Eclipse'}]",Orbitrap Eclipse (MS:1003029),yes
PXD053353,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD053582,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD053919,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD054249,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD054439,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD055145,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
