pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD035722,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD036005,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD036192,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD036197,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD036200,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap', 'value': ''}]",LTQ Orbitrap (MS:1000449),yes
PXD036430,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD036634,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD036675,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion', 'value': ''}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos', 'value': ''}]",Orbitrap Fusion (MS:1002416) | LTQ Orbitrap Velos (MS:1001742),yes
PXD036708,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD036779,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD036966,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
