pxd,in_pride_cache,experimentTypes_raw,projectTags_raw,experimentTypes_text,projectTags_text,experiment_or_tag_present
PXD010217,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biomedical'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,yes
PXD010952,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Biological', 'Liver (b/d-hpp)']",Shotgun proteomics (PRIDE:0000429),Biological | Liver (b/d-hpp),yes
PXD010963,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD011237,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD011241,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD011507,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Biological', 'Technical']",Shotgun proteomics (PRIDE:0000429),Biological | Technical,yes
PXD011542,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD011863,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD011986,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biological'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,yes
PXD011999,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD012068,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD012337,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD012723,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]","['Biological', 'Technical', 'Deep learning', 'Benchmarking', 'Machine learning']",Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological | Technical | Deep learning | Benchmarking | Machine learning,yes
PXD012811,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biomedical'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,yes
PXD013216,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD013432,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD013517,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD013599,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD013685,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD013836,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD014164,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD014472,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD014738,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]",[],Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,yes
PXD015234,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD015445,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD015790,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000427', 'name': 'Top-down proteomics'}, {'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Top-down proteomics (PRIDE:0000427) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD015800,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD016311,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
