accession,pubmed_id,pmc_id,raw_file_count,organism,experiment_types,Reannotated,Reannotation_QC
PXD014498,31343405.0,PMC6699824,1,Rattus norvegicus (rat),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD029850,35603428.0,PMC9253782,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD029851,35603428.0,PMC9253782,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD031700,35239437.0,PMC8915906,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD030600,35323464.0,PMC8950537,1,Pseudoalteromonas flavipulchra ncimb 2033 = atcc baa-314,Shotgun proteomics,True,False
PXD060120,41360924.0,PMC12698774,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD010549,30158631.0,PMC6115407,1,Drosophila melanogaster (fruit fly),Shotgun proteomics,True,False
PXD021560,33588295.0,PMC7895675,1,Trypanosoma brucei,Shotgun proteomics,True,False
PXD021365,33790014.0,PMC8040806,1,Saccharomyces cerevisiae (baker's yeast),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD021970,33489941.0,PMC7821095,1,Plasmodium berghei anka,Affinity purification coupled with mass spectrometry proteomics,True,False
PXD027783,34762162.0,PMC10165959,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD060970,40541806.0,PMC12275198,1,Homo sapiens (human),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD021928,34763597.0,PMC8726736,1,Mouse gut metagenome; Homo sapiens (human),Shotgun proteomics,True,False
PXD002120,26136255.0,PMC4632501,1,Mycobacterium smegmatis,Shotgun proteomics,True,False
PXD038067,37402368.0,PMC10484158,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD059315,40890294.0,PMC12484842,1,Homo sapiens (human),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD016197,32058951.0,PMC6997871,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD049300,39003270.0,PMC11246429,1,Rattus norvegicus (rat); Mus musculus (mouse); Bos taurus (bovine),Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics; Data-dependent acquisition,True,False
PXD046785,38966985.0,PMC11347134,1,Mus musculus (mouse),Gel-based experiment; Bottom-up proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD006688,27824341.0,PMC5270573,1,Marine metagenome,Shotgun proteomics,True,False
PXD064331,40693605.0,PMC12281461,1,Homo sapiens (human),Glycoproteomics,True,False
PXD039437,36739439.0,PMC9899281,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD050745,39350237.0,PMC11443931,1,Capra hircus (goat),Data-independent acquisition,True,False
PXD031525,36951107.0,PMC10164566,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD054804,39172012.0,PMC11609630,1,Homo sapiens (human),Data-dependent acquisition; Immunopeptidomics,True,False
PXD020479,33013791.0,PMC7506082,1,Trypanosoma brucei,Shotgun proteomics,True,False
PXD052180,37789080.0,PMC10547834,1,Homo sapiens (human),Top-down proteomics,True,False
PXD034871,36402845.0,PMC9675754,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD045137,41613430.0,PMC12848141,1,Homo sapiens (human),Gel-based experiment,True,False
PXD066594,40883291.0,PMC12397347,1,Microcystis aeruginosa pcc 7806sl,Data-independent acquisition; Data-dependent acquisition,True,False
PXD066540,40883291.0,PMC12397347,1,Microcystis aeruginosa pcc 7806sl,Data-dependent acquisition,True,False
PXD054332,41205596.0,PMC12711663,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD058432,41390767.0,PMC12722208,1,Mus musculus (mouse),Data-dependent acquisition,True,False
PXD030112,35592564.0,PMC9111532,1,Arabidopsis thaliana (mouse-ear cress),SRM/MRM,True,False
PXD030098,35592564.0,PMC9111532,1,Arabidopsis thaliana (mouse-ear cress),Shotgun proteomics,True,False
PXD014472,31416967.0,PMC6719614,1,Drosophila melanogaster (fruit fly),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD036201,37707322.0,PMC10501187,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD027412,34756071.0,PMC8579942,1,Japanese encephalitis virus; Homo sapiens (human),Top-down proteomics,True,False
PXD027773,34679670.0,PMC8533122,1,Rattus norvegicus (rat),Shotgun proteomics,True,False
PXD015631,38352067.0,PMC10863525,1,Abiotrophia defectiva atcc 49176,Top-down proteomics,True,False
PXD039835,38109791.0,PMC10987295,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD050190,38587639.0,PMC11001723,1,Mesocricetus auratus (golden hamster),SWATH MS,True,False
PXD006504,31038352.0,PMC6918859,1,Sulfurihydrogenibium,Shotgun proteomics,True,False
PXD006506,31038352.0,PMC6918859,1,Sulfurihydrogenibium,Shotgun proteomics,True,False
PXD054439,39994730.0,PMC11853539,1,Giardia intestinalis (giardia lamblia),Bottom-up proteomics,True,False
PXD023147,34272863.0,PMC8557429,1,Lineus longissimus,Shotgun proteomics,True,False
PXD018112,32447284.0,PMC8015003,1,Aspergillus fumigatus af293,Shotgun proteomics,True,False
