accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC
PXD012096,31142788.0,PMC6541657,0,Homo sapiens (human),9606,SWATH MS; Shotgun proteomics,CC BY,False,False
PXD008863,29531219.0,PMC5847541,24,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD006200,28561026.0,PMC5460035,1,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD012099,30604225.0,PMC6514073,12,Drosophila melanogaster (fruit fly),7227,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD008868,29531219.0,PMC5847541,10,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD007532,29552294.0,PMC5844730,320,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD006205,29896523.0,PMC5996235,18,Bacillus cereus (strain atcc 14579 / dsm 31),226900,Shotgun proteomics,CC BY,False,False
PXD006207,28676819.0,PMC5476934,43,Triticum aestivum (wheat),4565,Shotgun proteomics,CC BY,False,False
PXD008859,29490281.0,PMC5848852,24,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD007529,30816242.0,PMC6395664,45,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD000070,24657495.0,PMC4047622,6,Plasmodium falciparum (isolate 3d7),36329,Bottom-up proteomics,CC BY,False,False
PXD012068,31687929.0,PMC6890458,2,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD013397,31139569.0,PMC6527753,0,Homo sapiens (human),9606,mass spectrometry imaging,CC BY,False,False
PXD012069,32170114.0,PMC7070061,20,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD008860,30467398.0,PMC6250715,1689,Bacillus subtilis subsp. subtilis str. 168,224308,Shotgun proteomics,CC BY,False,False
PXD013396,31438645.0,PMC6770059,36,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD013381,31113953.0,PMC6529429,6,Homo sapiens (human),9606,Top-down proteomics,CC BY,False,False
PXD012058,30916644.0,PMC6497464,168,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD012052,30916644.0,PMC6497464,24,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD012082,31541095.0,PMC6754446,18,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD012056,30824564.0,PMC6396370,0,Mus musculus (mouse),10090,SWATH MS; Shotgun proteomics,CC BY,False,False
PXD012083,31291378.0,PMC6619824,86,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD012055,31226201.0,PMC6698753,6,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,False,False
PXD012053,30916644.0,PMC6497464,6,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD012081,31139151.0,PMC6518024,36,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008814,30079056.0,PMC6062600,15,Streptococcus pneumoniae serotype 2 (strain d39 / nctc 7466),373153,Shotgun proteomics,CC BY,False,False
PXD000084,23878156.0,PMC3814894,572,Apis mellifera ligustica (common honeybee) (italian honeybee),7469,Bottom-up proteomics,CC BY-NC,False,False
PXD008806,30729181.0,PMC6361956,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008807,30729181.0,PMC6361956,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008818,30157773.0,PMC6116556,58,Gallus gallus (chicken),9031,Shotgun proteomics,CC BY,False,False
PXD006250,29747589.0,PMC5946477,9,Aspergillus fumigatus af293,330879,Shotgun proteomics,CC BY,False,False
PXD007582,28981749.0,PMC5716071,48,Mus musculus (mouse),10090,Shotgun proteomics,CC BY-NC,False,False
PXD007583,29487281.0,PMC5829246,0,Tupavirus,1513300,SWATH MS; Shotgun proteomics,CC BY,False,False
PXD007584,29554348.0,PMC6007307,3,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD007588,31193076.0,PMC6517567,0,Mycobacterium tuberculosis h37rv,83332,Shotgun proteomics,CC BY,False,False
