Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[ancestry category]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[individual]	assay name	comment[data file]	comment[technical replicate]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	Material Type	factor value[organism part]	sampleChecksum	sampleAccession
PXD013765-Sample 11	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	DP	run 21	DP-C_NE_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	21	a064ac9c103b66a07e06a8f0c9387cb932f4debe2a11ef3db258082b5452ade3	SAMEA7712331
PXD013765-Sample 11	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	2	DP	run 22	DP-C_NE_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	22	a064ac9c103b66a07e06a8f0c9387cb932f4debe2a11ef3db258082b5452ade3	SAMEA7712331
PXD013765-Sample 12	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	DP	run 23	DP-C_NE_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	23	664d52ca89fb4e320bd0f228ad736a5cc0de5040e60e0151090648bceae77d4b	SAMEA7712332
PXD013765-Sample 12	Homo sapiens	cutaneous melanoma cells nuclear extracts	not available	not applicable	cutaneous	not available	not available	not available	Melanoma	3	DP	run 24	DP-C_NE_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	24	664d52ca89fb4e320bd0f228ad736a5cc0de5040e60e0151090648bceae77d4b	SAMEA7712332
PXD013765-Sample 13	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M12	run 25	M12-CB3_CYT_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	25	e025bc632b5603ce995bc9604c423c8df64fc43e75630f32e4f5dbe51fff036d	SAMEA7712333
PXD013765-Sample 13	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	M12	run 26	M12-CB3_CYT_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	26	e025bc632b5603ce995bc9604c423c8df64fc43e75630f32e4f5dbe51fff036d	SAMEA7712333
PXD013765-Sample 14	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M12	run 27	M12-CB3_CYT_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	27	bf9aff605cb888696a41c2b36146791f004fe9e4900e94086e28f0bdccc7a0be	SAMEA7712334
PXD013765-Sample 14	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	M12	run 28	M12-CB3_CYT_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	28	bf9aff605cb888696a41c2b36146791f004fe9e4900e94086e28f0bdccc7a0be	SAMEA7712334
PXD013765-Sample 15	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M12	run 29	M12-CB3_CYT_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	29	3e057f932b1525a270dfa4eaa6001ac3f3081f457ab1427393e0f9cd891b58e5	SAMEA7712335
PXD013765-Sample 15	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	M12	run 30	M12-CB3_CYT_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	30	3e057f932b1525a270dfa4eaa6001ac3f3081f457ab1427393e0f9cd891b58e5	SAMEA7712335
